year,month,max_temp
1997,January,26
1997,February,26
1997,March,28
1997,April,29
1997,May,32
1997,June,32
1997,July,35
1997,August,37
1997,September,33
1997,October,32
1997,November,31
1997,December,27
1998,January,27
1998,February,27
1998,March,29
1998,April,33
1998,May,33
1998,June,33
1998,July,34
1998,August,35
1998,September,34
1998,October,33
1998,November,30
1998,December,28
1999,January,26
1999,February,28
1999,March,31
1999,April,32
1999,May,32
1999,June,35
1999,July,35
1999,August,36
1999,September,34
1999,October,33
1999,November,29
1999,December,24
2000,January,25
2000,February,25
2000,March,28
2000,April,29
2000,May,33
2000,June,34
2000,July,35
2000,August,35
2000,September,33
2000,October,33
2000,November,28
2000,December,26
2001,January,25
2001,February,27
2001,March,29
2001,April,33
2001,May,33
2001,June,35
2001,July,34
2001,August,35
2001,September,34
2001,October,33
2001,November,30
2001,December,29
2002,January,26
2002,February,26
2002,March,28
2002,April,33
2002,May,34
2002,June,35
2002,July,35
2002,August,35
2002,September,34
2002,October,31
2002,November,29
2002,December,29
2003,January,25
2003,February,27
2003,March,28
2003,April,32
2003,May,33
2003,June,34
2003,July,35
2003,August,35
2003,September,34
2003,October,32
2003,November,33
2003,December,27
2004,January,24
2004,February,26
2004,March,27
2004,April,32
2004,May,33
2004,June,36
2004,July,37
2004,August,36
2004,September,34
2004,October,32
2004,November,29
2004,December,27
2005,January,24
2005,February,26
2005,March,28
2005,April,30
2005,May,32
2005,June,34
2005,July,37
2005,August,34
2005,September,35
2005,October,34
2005,November,31
2005,December,26
2006,January,26
2006,February,26
2006,March,28
2006,April,33
2006,May,33
2006,June,35
2006,July,37
2006,August,34
2006,September,34
2006,October,32
2006,November,31
2006,December,29
2007,January,24
2007,February,26
2007,March,30
2007,April,31
2007,May,34
2007,June,35
2007,July,35
2007,August,35
2007,September,34
2007,October,33
2007,November,29
2007,December,27
2008,January,27
2008,February,21
2008,March,28
2008,April,31
2008,May,33
2008,June,34
2008,July,36
2008,August,34
2008,September,35
2008,October,32
2008,November,31
2008,December,27
2009,January,25
2009,February,29
2009,March,29
2009,April,30
2009,May,33
2009,June,34
2009,July,35
2009,August,36
2009,September,35
2009,October,33
2009,November,32
2009,December,25
2010,January,26
2010,February,29
2010,March,29
2010,April,29
2010,May,32
2010,June,34
2010,July,36
2010,August,35
2010,September,35
2010,October,34
2010,November,28
2010,December,28
2011,January,18
2011,February,28
2011,March,28
2011,April,31
2011,May,33
2011,June,36
2011,July,36
2011,August,36
2011,September,35
2011,October,31
2011,November,32
2011,December,25
2012,January,23
2012,February,27
2012,March,30
2012,April,31
2012,May,34
2012,June,34
2012,July,36
2012,August,36
2012,September,34
2012,October,31
2012,November,30
2012,December,27
2013,January,25
2013,February,27
2013,March,30
2013,April,31
2013,May,34
2013,June,36
2013,July,35
2013,August,34
2013,September,34
2013,October,32
2013,November,31
2013,December,25
2014,January,25
2014,February,26
2014,March,29
2014,April,30
2014,May,34
2014,June,36
2014,July,35
2014,August,36
2014,September,35
2014,October,35
2014,November,30
2014,December,26
2015,January,25
2015,February,28
2015,March,29
2015,April,32
2015,May,34
2015,June,36
2015,July,35
2015,August,37
2015,September,34
2015,October,33
2015,November,31
2015,December,28
2016,January,25
2016,February,28
2016,March,27
2016,April,30
2016,May,33
2016,June,36
2016,July,36
2016,August,35
2016,September,35
2016,October,32
2016,November,31
2016,December,27
2017,January,27
2017,February,26
2017,March,27
2017,April,31
2017,May,33
2017,June,35
2017,July,37
2017,August,37
2017,September,35
