,宝山区,普陀区,静安区,杨浦区,浦东新区,虹口区,嘉定区,长宁区,徐汇区,黄浦区,崇明区,闵行区,青浦区,松江区,金山区,奉贤区
0,0.9999999999999999,0.06157919507712452,0.14829661574037975,0.045684626838796046,-0.030134573795892204,0.06496389488797732,0.004103275620001617,0.01061124110604537,-0.005140024648575935,0.014423028120857167,-0.004144111893954359,-0.02728383130151458,-0.02579135359491064,-0.017664397577095304,-0.019180513968317242,-0.02676333661353155
1,0.06157919507712452,1.0,0.16059444268271922,0.02136548104384933,-0.019875909820782686,0.033414488183712766,0.07488884061946312,0.12400615476934893,0.030544101563701784,0.041960700468177,0.04497804326707658,-0.0007465585000661117,-0.015067900695323667,-0.01482821378642411,-0.019869750119416666,-0.0236032042261543
2,0.14829661574037972,0.16059444268271922,0.9999999999999999,0.06874213810007275,0.0133545341871193,0.16917206590294112,0.006226063804906183,0.13453452026405585,0.06517210112775938,0.15839767618221584,-0.008924188778914805,0.01309713898002382,-0.016286930189399425,-0.015261795510218393,-0.021713960900587026,-0.02582518697563482
3,0.045684626838796046,0.021365481043849326,0.06874213810007275,1.0,0.06639795716865314,0.1552293728711978,-0.018402242124168286,0.03185628092090618,0.010328054709663448,0.06475588975036742,0.11997007659920024,-0.015291944386220781,-0.022300205820726976,-0.014757293158954965,-0.01924187989943563,-0.023220120678027933
4,-0.030134573795892204,-0.019875909820782686,0.013354534187119302,0.06639795716865315,1.0,0.018552318881267602,-0.04478163440017165,0.005913223754889101,0.016422358604712032,0.08685307227117689,0.032237090786908375,-0.00890123630904034,-0.04440523505679955,-0.02724847324075986,-0.034301032367302524,-0.028059954069338276
5,0.06496389488797732,0.033414488183712766,0.16917206590294112,0.1552293728711978,0.018552318881267602,1.0,-0.009553815281942546,0.04152475885441677,0.02138584516401559,0.09019696111825931,-0.00512988202629926,-0.00349277086856971,-0.016016725007308955,-0.011639864738748298,-0.015422985626736196,-0.01822215872013138
6,0.004103275620001616,0.07488884061946312,0.006226063804906182,-0.01840224212416829,-0.044781634400171653,-0.009553815281942546,1.0,0.04350568941318321,-0.00951714280291719,-0.007092134957461902,-0.00889122213593501,0.005594172675548255,0.01316542006515931,-0.012564169751889159,-0.01795477534748331,-0.023690456153485796
7,0.010611241106045369,0.12400615476934894,0.13453452026405585,0.03185628092090618,0.005913223754889101,0.04152475885441676,0.0435056894131832,1.0,0.11335541443253692,0.09678228456221595,-0.008620668935984191,0.12222118712918224,0.01960542382921333,-0.005849459931722052,-0.015340892632886224,-0.019874733349822947
8,-0.005140024648575935,0.03054410156370179,0.06517210112775938,0.010328054709663448,0.016422358604712032,0.02138584516401559,-0.009517142802917192,0.11335541443253694,1.0,0.12597266681952443,-0.0072055176353035206,0.10169213388200449,-0.012211247101147448,-0.00508018517380274,-0.017011156770867057,-0.01919119138804628
9,0.014423028120857169,0.041960700468177,0.15839767618221584,0.06475588975036742,0.08685307227117689,0.09019696111825931,-0.007092134957461902,0.09678228456221596,0.1259726668195244,1.0,-0.006822709904973406,0.027862987517451313,-0.0067233352341421965,-0.00840630028936811,-0.015010491144933769,-0.017339357941464757
10,-0.004144111893954359,0.04497804326707658,-0.008924188778914805,0.11997007659920024,0.032237090786908375,-0.00512988202629926,-0.00889122213593501,-0.008620668935984191,-0.00720551763530352,-0.006822709904973406,1.0,-0.013880787236271208,-0.009234130525021481,-0.005597621965341266,-0.005930221232424055,-0.007914191995075147
11,-0.02728383130151458,-0.0007465585000661116,0.013097138980023819,-0.015291944386220781,-0.00890123630904034,-0.0034927708685697097,0.005594172675548254,0.12222118712918223,0.10169213388200449,0.027862987517451313,-0.013880787236271208,1.0,0.05017260068441042,0.017530677753004834,-0.018825434955109053,0.04859126174122654
12,-0.025791353594910638,-0.015067900695323667,-0.016286930189399425,-0.022300205820726976,-0.044405235056799545,-0.016016725007308955,0.01316542006515931,0.01960542382921333,-0.012211247101147448,-0.0067233352341421965,-0.009234130525021481,0.05017260068441042,1.0,0.02679942181119489,-0.014991603035049187,-0.01912006841511878
13,-0.017664397577095304,-0.014828213786424111,-0.015261795510218393,-0.014757293158954963,-0.02724847324075986,-0.0116398647387483,-0.012564169751889157,-0.005849459931722052,-0.00508018517380274,-0.00840630028936811,-0.005597621965341266,0.017530677753004834,0.02679942181119489,1.0,0.011479680702976842,-0.005170037423631973
14,-0.019180513968317242,-0.019869750119416666,-0.021713960900587026,-0.01924187989943563,-0.034301032367302524,-0.015422985626736196,-0.01795477534748331,-0.015340892632886224,-0.017011156770867057,-0.015010491144933767,-0.005930221232424054,-0.01882543495510905,-0.014991603035049188,0.011479680702976844,1.0,0.007629381201098694
15,-0.026763336613531554,-0.0236032042261543,-0.02582518697563482,-0.023220120678027936,-0.028059954069338276,-0.018222158720131384,-0.0236904561534858,-0.019874733349822944,-0.01919119138804628,-0.017339357941464757,-0.007914191995075148,0.04859126174122654,-0.019120068415118777,-0.005170037423631973,0.007629381201098694,1.0
